_start,_stop,_time,_value,_field,_measurement,group,line,machine,site,tagName,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:08:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:09:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:10:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:11:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:12:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:13:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:14:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:15:00Z,906.7714285714288,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:16:00Z,941.452381,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:17:00Z,942.7142857142857,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
